date,site,NDAVI,DO mg/L,DO sat,Conductivity uS/cm,Salinity ppt,Temperature C,pH
10/07/2023,NVBR,0.3920859,0.43,6.8,76921,55.9,23,
10/07/2023,NEC,0.4400232,,,,,,
10/07/2023,NPB,0.432288,0.73,7.6,3315,2.1,16.5,
10/07/2023,COPR,0.3767458,,,,,,
10/8/2023,NPB,0.4240299,0.40,4.3,,,19.0,7.40
10/21/2023,COPR,0.3694873,16.63,193.1,39098,24.3,26.1,8.9
10/21/2023,NVBR,0.3980885,7.53,123.7,82171,61.3,22.4,
10/21/2023,NEC,0.4355378,9.14,141.2,61797,39.2,27.6,8.6
10/21/2023,NPB,0.4240299,4.34,62.1,18126,9.3,31.6,7.78
11/5/2023,COPR,0.3715869,15.06,232.8,63390,42.7,25.1,8.93
11/5/2023,NVBR,0.3849009,4.61,69.7,50189,36.1,20.9,8.44
11/5/2023,NEC,0.4390928,5.58,99.6,95029,68.5,24.9,8.3
11/5/2023,NPB,0.4463236,2.35,34.9,40866,24,,8.17
11/11/2023,NEC,0.4498853,0.25,3.4,50604,38.6,18.4,8.12
11/18/2023,NEC,0.4312463,6.11,98.2,,66.3,19.3,8.48
11/19/2023,NPB,0.4349891,2.11,20.7,761,,14.4,7.39
11/21/2023,NVBR,0.3840014,8.12,132.3,85041,69,19.1,
11/21/2023,NEC,0.4331062,,,,,,
11/21/2023,NPB,0.4215151,0.81,7.8,2262,1.5,13.3,
11/21/2023,COPR,0.3723388,,,,,,
12/1/2023,NVBR,0.3292552,9.04,129.8,67849,57.1,16.2,8.9
12/1/2023,NEC,0.387867,10.82,165.3,75839,62.1,18,9
12/3/2023,NVBR,0.3292552,10.7,154,,62.7,15.3,9.11
12/3/2023,NEC,0.387867,10.2,157,,63.5,18,8.91
12/3/2023,NPB,0.4163929,11.5,146,,53.2,21.3,8.55
12/16/2023,NVBR,0.3925124,16.6,234,68633,62.5,13.3,
12/16/2023,NEC,0.4375595,,,,,,
12/16/2023,NPB,0.428844,9.6,104,2264,1.8,8,
12/16/2023,COPR,0.3489498,,,,,,
01/07/2024,NVBR,0.2276054,1.71,16.6,4377,3.1,13.3,
01/07/2024,NEC,0.3223144,9.01,87.6,2386,1.6,13.6,
01/07/2024,NPB,0.3287475,0.34,3.4,4064,2.8,14,
01/07/2024,COPR,0.1479575,,,,,,
1/19/2024,NEC,0.4119524,6.5,65,2885,1.9,15,7.41
1/19/2024,NVBR,0.355081,7.9,77,4753,3.2,14.7,7.56
1/20/2024,COPR,0.3253182,3.9,40,0,4.2,15.3,7.2
1/28/2024,NPB,0.4252872,6.60,69.0,2604,1.6,16.7,7.43
2/3/2024,NVBR,0.3885945,8.2,85,,,15.8,7.65
02/09/2024,NVBR,0.5668119,9.27,103.3,28093,22.4,14,
02/09/2024,NEC,0.6147981,,,,,,
02/09/2024,NPB,0.5912533,8.63,79.9,2356,1.7,11.4,
02/09/2024,COPR,0.3124239,,,,,,
03/12/2024,NVBR,0.462549,8.14,89.8,10677,7.1,18,
03/12/2024,NEC,0.5100044,8.16,91,6150,3.8,19.6,
03/12/2024,NPB,0.5003686,10.43,102.4,2580,1.7,14.1,
03/12/2024,COPR,0.4202937,,,,,,
04/09/2024,NVBR,0.5407855,7.61,77.1,6537,4.5,14.7,
04/09/2024,NEC,0.5950253,9.45,108.6,16859,11.4,18.8,
04/09/2024,NPB,0.6013126,5.44,54.6,2882,1.9,15,
04/09/2024,COPR,0.5406796,,,,,,
5/3/2024,NVBR,0.3885945,18.3,219,,6.1,23.7,
5/3/2024,COPR,0.4558118,8.7,104,,7.3,22.3,9.07
05/08/2024,NVBR,0.4106533,8.5,101.6,16151,10.3,21.2,
05/08/2024,NEC,0.4718576,8.18,95.8,12781,8.1,20.8,
05/08/2024,NPB,0.4902825,3.61,37.3,3488,2.2,16.3,
05/08/2024,COPR,0.4558118,,,,,,
11/1/2024,COPR,0.3715869,11.7,170,,55.1,18.8,9.16
